number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_normalizer,user_attrs_pred_classes,user_attrs_pred_distribution,user_attrs_raw_f1_macro,state
0,0.24645021645021645,2026-06-10 12:31:22.096393,2026-06-10 12:31:22.570978,0 days 00:00:00.474585,8,100,7.372653200164409,0.06054365855469249,robust,2,"{-1: 146, 0: 22}",0.21645021645021645,COMPLETE
1,0.25493224932249325,2026-06-10 12:31:22.571099,2026-06-10 12:31:23.269581,0 days 00:00:00.698482,6,500,3.6210622617823773,0.03647316284911211,robust,2,"{-1: 161, 0: 7}",0.22493224932249323,COMPLETE
2,0.2540215924426451,2026-06-10 12:31:23.269698,2026-06-10 12:31:23.687109,0 days 00:00:00.417411,6,300,1.4180537144799796,0.05898602410432694,standard,2,"{-1: 162, 0: 6}",0.22402159244264508,COMPLETE
3,0.24763085399449036,2026-06-10 12:31:23.687226,2026-06-10 12:31:23.732885,0 days 00:00:00.045659,3,100,4.961372443656412,0.07766184280392888,none,2,"{-1: 157, 0: 11}",0.21763085399449036,COMPLETE
4,0.2873766712770862,2026-06-10 12:31:23.733004,2026-06-10 12:31:24.147067,0 days 00:00:00.414063,6,300,2.6636900997297435,0.05143828405076928,none,3,"{-1: 156, 0: 9, 1: 3}",0.25737667127708624,COMPLETE
5,0.24944444444444444,2026-06-10 12:31:24.147186,2026-06-10 12:31:24.326699,0 days 00:00:00.179513,4,300,3.927972976869379,0.011450964268326641,standard,2,"{-1: 155, 0: 13}",0.21944444444444444,COMPLETE
6,0.2503147353361946,2026-06-10 12:31:24.326820,2026-06-10 12:31:25.016101,0 days 00:00:00.689281,7,300,9.881982429404655,0.012502377950801122,maxabs,2,"{-1: 148, 0: 20}",0.22031473533619458,COMPLETE
7,0.2503856749311295,2026-06-10 12:31:25.016226,2026-06-10 12:31:25.214844,0 days 00:00:00.198618,3,500,2.0428215357261674,0.029266761285490717,none,2,"{-1: 157, 0: 11}",0.22038567493112948,COMPLETE
8,0.25131147540983606,2026-06-10 12:31:25.214956,2026-06-10 12:31:25.892689,0 days 00:00:00.677733,6,500,5.249934326457543,0.1426561143637793,standard,3,"{-1: 159, 0: 8, 1: 1}",0.22131147540983606,COMPLETE
9,0.25130013831258646,2026-06-10 12:31:25.892790,2026-06-10 12:31:25.987571,0 days 00:00:00.094781,5,100,1.97102284293974,0.010791232418686401,maxabs,2,"{-1: 156, 0: 12}",0.22130013831258644,COMPLETE
10,0.25131147540983606,2026-06-10 12:31:25.987676,2026-06-10 12:31:27.116435,0 days 00:00:01.128759,8,300,7.679093841076246,0.16328176997790195,none,2,"{-1: 159, 0: 9}",0.22131147540983606,COMPLETE
11,0.2531292517006803,2026-06-10 12:31:27.116539,2026-06-10 12:31:27.806300,0 days 00:00:00.689761,6,500,3.4247482669161284,0.02868093006663172,robust,2,"{-1: 160, 0: 8}",0.2231292517006803,COMPLETE
12,0.25988643156007174,2026-06-10 12:31:27.806403,2026-06-10 12:31:28.245372,0 days 00:00:00.438969,5,500,3.360442409320184,0.030301587796413634,robust,3,"{-1: 154, 0: 13, 1: 1}",0.2298864315600717,COMPLETE
13,0.24944444444444444,2026-06-10 12:31:28.245480,2026-06-10 12:31:28.683522,0 days 00:00:00.438042,5,500,2.929344720389298,0.02020766185072117,none,2,"{-1: 155, 0: 13}",0.21944444444444444,COMPLETE
14,0.25131147540983606,2026-06-10 12:31:28.683624,2026-06-10 12:31:28.950739,0 days 00:00:00.267115,5,300,5.213947946299787,0.09620452609801607,robust,3,"{-1: 159, 0: 8, 1: 1}",0.22131147540983606,COMPLETE
15,0.25131147540983606,2026-06-10 12:31:28.950843,2026-06-10 12:31:29.244479,0 days 00:00:00.293636,4,500,1.028054540177076,0.04644760340836735,none,2,"{-1: 159, 0: 9}",0.22131147540983606,COMPLETE
16,0.2503626220362622,2026-06-10 12:31:29.244585,2026-06-10 12:31:29.948383,0 days 00:00:00.703798,7,300,6.846051299857951,0.02022324487822634,robust,2,"{-1: 154, 0: 14}",0.2203626220362622,COMPLETE
17,0.2475732217573222,2026-06-10 12:31:29.948488,2026-06-10 12:31:30.125719,0 days 00:00:00.177231,4,300,2.558969465356971,0.020576889694539403,maxabs,2,"{-1: 154, 0: 14}",0.2175732217573222,COMPLETE
18,0.25222222222222224,2026-06-10 12:31:30.125824,2026-06-10 12:31:31.273400,0 days 00:00:01.147576,7,500,4.374210983976447,0.10660290908929818,none,2,"{-1: 161, 0: 7}",0.2222222222222222,COMPLETE
19,0.2503626220362622,2026-06-10 12:31:31.273512,2026-06-10 12:31:31.369787,0 days 00:00:00.096275,5,100,6.307254115068748,0.04360289558421455,robust,2,"{-1: 154, 0: 14}",0.2203626220362622,COMPLETE
